Station,Length,Moment
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
1,49,0.0
1,50,0.0
1,51,-0.0028144134788130842
1,52,-0.0056288269576261684
1,53,-0.008443240436439252
1,54,-0.011257653915252337
1,55,-0.014072067394065422
1,56,-0.016886480872878504
1,57,-0.01970089435169159
1,58,-0.022515307830504674
1,59,-0.02532972130931776
1,60,-0.028144134788130843
1,61,-0.030958548266943928
1,62,-0.03377296174575701
1,63,-0.03658737522457009
1,64,-0.03940178870338317
1,65,-0.04221620218219625
1,66,-0.045030615661009334
1,67,-0.047845029139822415
1,68,-0.050659442618635496
1,69,-0.05347385609744858
1,70,-0.05628826957626166
1,71,-0.05910268305507474
1,72,-0.06191709653388782
1,73,-0.0647315100127009
1,74,-0.06754592349151399
1,75,-0.07036033697032708
1,76,-0.07317475044914017
1,77,-0.07598916392795325
1,78,-0.07880357740676634
1,79,-0.08161799088557943
1,80,-0.08443240436439252
1,81,-0.0872468178432056
1,82,-0.0900612313220187
1,83,-0.09287564480083178
1,84,-0.09569005827964487
1,85,-0.09850447175845796
1,86,-0.10131888523727105
1,87,-0.10413329871608414
1,88,-0.10694771219489722
1,89,-0.10976212567371031
1,90,-0.1125765391525234
1,91,-0.11539095263133649
1,92,-0.11820536611014958
1,93,-0.12101977958896266
1,94,-0.12383419306777575
1,95,-0.12664860654658883
1,96,-0.12946302002540191
1,97,-0.132277433504215
1,98,-0.1350918469830281
1,99,-0.13790626046184118
1,100,-0.14072067394065427
2,101,-0.14353508741946736
2,102,-0.14634950089828044
2,103,-0.14916391437709353
2,104,-0.15197832785590662
2,105,-0.1547927413347197
2,106,-0.1576071548135328
2,107,-0.16042156829234588
2,108,-0.16323598177115897
2,109,-0.16605039524997206
2,110,-0.16886480872878515
2,111,-0.17167922220759824
2,112,-0.17449363568641132
2,113,-0.1773080491652244
2,114,-0.1801224626440375
2,115,-0.1829368761228506
2,116,-0.18575128960166368
2,117,-0.18856570308047677
2,118,-0.19138011655928985
2,119,-0.19419453003810294
2,120,-0.19700894351691603
2,121,-0.19982335699572912
2,122,-0.2026377704745422
2,123,-0.2054521839533553
2,124,-0.20826659743216838
2,125,-0.21108101091098147
2,126,-0.21389542438979456
2,127,-0.21670983786860765
2,128,-0.21952425134742073
2,129,-0.22233866482623382
2,130,-0.2251530783050469
2,131,-0.22796749178386
2,132,-0.2307819052626731
2,133,-0.23359631874148618
2,134,-0.23641073222029926
2,135,-0.23922514569911235
2,136,-0.24203955917792544
2,137,-0.24485397265673853
2,138,-0.24766838613555162
2,139,-0.2504827996143647
2,140,-0.25329721309317776
2,141,-0.2561116265719908
2,142,-0.2589260400508039
2,143,-0.26174045352961695
2,144,-0.26455486700843
2,145,-0.26736928048724307
2,146,-0.2701836939660561
2,147,-0.2729981074448692
2,148,-0.27581252092368225
